eyliad |See Eiliad.
fatalist |One who maintains that all things happen by inevitable necessity.
fatalistic |Implying, or partaking of the nature of, fatalism.
fatality |1. The state of being fatal, or proceeding from destiny; invincible necessity, superior to, and independent of, free and rational control. The Stoics held a fatality, and a fixed, unalterable course of events. South. 2. The state of being fatal; tendency to destruction or danger, as if by decree of fate; mortaility. The year sixty-three is conceived to carry with it the most considerable fatality. Ser T. Browne. By a strange fatality men suffer their dissenting. Eikon Basilike. 3. That which is decreed by fate or which is fatal; a fatal event. Dryden.
fatally |1. In a manner proceeding from, or determined by, fate. Bentley. 2. In a manner issuing in death or ruin; mortally; destructively; as, fatally deceived or wounded.
fatalness |, . Quality of being fatal. Johnson.
fatback |The menhaden.
fate |1. A fixed decree by which the order of things is prescribed; the immutable law of the universe; inevitable necessity; the force by which all existence is determined and conditioned. Necessity and chance Approach not me; and what I will is fate. Milton. Beyond and above the Olympian gods lay the silent, brooding, everlasting fate of which victim and tyrant were alike the instruments. Froude. 2. Appointed lot; allotted life; arranged or predetermined event; destiny; especially, the final lot; doom; ruin; death. The great, th'important day, big with the fate Of Cato and of Rome. Addison. Our wills and fates do so contrary run That our devices still are overthrown. Shak. The whizzing arrow sings, And bears thy fate, Antinous, on its wings. Pope. 3. The element of chance in the affairs of life; the unforeseen and unestimated conitions considered as a force shaping events; fortune; esp., opposing circumstances against which it is useless to struggle; as, fate was, or the fates were, against him. A brave man struggling in the storms of fate. Pope. Sometimes an hour of Fate's serenest weather strikes through our changeful sky its coming beams. B. Taylor. 4. pl. Etym: [L. Fata, pl. of fatum.] (Myth.)  The three goddesses, Clotho, Lachesis, and Atropos, sometimes called the Destinies, or Parcæwho were supposed to determine the course of human life. They are represented, one as holding the distaff, a second as spinning, and the third as cutting off the thread. Note: Among all nations it has been common to speak of fate or destiny as a power superior to gods and men -- swaying all things irresistibly. This may be called the fate of poets and mythologists. Philosophical fate is the sum of the laws of the universe, the product of eternal intelligence and the blind properties of matter. Theological fate represents Deity as above the laws of nature, and ordaining all things according to his will -- the expression of that will being the law. Krauth-Fleming. Syn. -- Destiny; lot; doom; fortune; chance.
fated |1. Decreed by fate; destined; doomed; as, he was fated to rule a factious people. One midnight Fated to the purpose. Shak. 2. Invested with the power of determining destiny. [Obs.] \"The fated sky.\" Shak. 3. Exempted by fate. [Obs. or R.] Dryden.
fateful |Having the power of serving or accomplishing fate. \"The fateful steel.\" J. Barlow. 2. Significant of fate; ominous. The fateful cawings of the crow. Longfellow. -- Fate\"ful*ly, adv.- Fate\"ful*ness, n.
fathead |(a) A cyprinoid fish of the Mississippi valley (Pimephales promelas); -- called also black-headed minnow. (b) A labroid food fish of California; the redfish.
father |1. One who has begotten a child, whether son or daughter; a generator; a male parent. A wise son maketh a glad father. Prov. x. 1. 2. A male ancestor more remote than a parent; a progenitor; especially, a first ancestor; a founder of a race or family; -- in the plural, fathers, ancestors. David slept with his fathers. 1 Kings ii. 10. Abraham, who is the father of us all. Rom. iv. 16. 3. One who performs the offices of a parent by maintenance, affetionate care, counsel, or protection. I was a father to the poor. Job xxix. 16. He hath made me a father to Pharaoh, and lord of all his house. Gen. xiv. 8. 4. A respectful mode of address to an old man. And Joash the king og Israel came down unto him [Elisha], . . . and said, O my father, my father! 2 Kings xiii. 14. 5. A senator of ancient Rome. 6. A dignitary of the church, a superior of a convent, a confessor (called also father confessor), or a priest; also, the eldest member of a profession, or of a legislative assembly, etc. Bless you, good father friar ! Shak. 7. One of the chief esslesiastical authorities of the first centuries after Christ; -- often spoken of collectively as the Fathers; as, the Latin, Greek, or apostolic Fathers. 8. One who, or that which, gives origin; an originator; a producer, author, or contriver; the first to practice any art, profession, or occupation; a distinguished example or teacher. The father of all such as handle the harp and organ. Gen. iv. 21. Might be the father, Harry, to that thought. Shak. The father of good news. Shak. 9. The Supreme Being and Creator; God; in theology, the first person in the Trinity. Our Father, which art in heaven. Matt. vi. 9. Now had the almighty Father from above . . . Bent down his eye. Milton. Adoptive father, one who adopts the child of another, treating it as his own. -- Apostolic father, Conscript fathers, etc. See under Apostolic, Conscript, etc. -- Father in God, a title given to bishops. -- Father of lies, the Devil. -- Father of the bar, the oldest practitioner at the bar. -- Fathers of the city, the aldermen. -- Father of the Faithful. (a) Abraham. Rom. iv. Gal. iii. 6-9. (b) Mohammed, or one of the sultans, his successors. -- Father of the house, the member of a legislative body who has had the longest continuous service. -- Most Reverend Father in God, a title given to archbishops and metropolitans, as to the archbishops of Canterbury and York. -- Natural father, the father of an illegitimate child. -- Putative father, one who is presumed to be the father of an illegitimate child; the supposed father. -- Spiritual father. (a) A religious teacher or guide, esp. one instrumental in leading a soul to God. (b) (R. C. Ch.) A priest who hears confession in the sacrament of penance. -- The Holy Father (R. C. Ch.), the pope.\n\n1. To make one's self the father of; to beget. Cowards father cowards, and base things sire base. Shak. 2. To take as one's own child; to adopt; hence, to assume as one's own work; to acknowledge one's self author of or responsible for (a statement, policy, etc.). Men of wit Often fathered what he writ. Swift. 3. To provide with a father. [R.] Think you I am no stronger than my sex, Being so fathered and so husbanded Shak. To father on or upon, to ascribe to, or charge upon, as one's offspring or work; to put or lay upon as being responsible. \"Nothing can be so uncouth or extravagant, which may not be fathered on some fetch of wit, or some caprice of humor.\" Barrow.
father longlegs |See Daddy longlegs, 2.
father-in-law |The father of one's husband or wife; -- correlative to son-in- law and daughter-in-law. Note: A man who marries a woman having children already, is sometimes, though erroneously, called their father-in-law.
father-lasher |A European marine fish (Cottus bubalis), allied to the sculpin; -- called also lucky proach.
fatherhood |The state of being a father; the character or authority of a father; paternity.
fatherland |One's native land; the native land of one's fathers or ancestors.
fatherless |1. Destitute of a living father; as, a fatherless child. 2. Without a known author. Beau. & Fl.
fatherlessness |The state of being without a father.
fatherliness |The qualities of a father; parantal kindness, care, etc.
fatherly |1. Like a father in affection and care; paternal; tender; protecting; careful. You have showed a tender, fatherly regard. Shak. 2. Of or pertaining to a father.
fathership |The state of being a father; fatherhood; paternity.
fathom |1. A measure of length, containing six feet; the space to which a man can extend his arms; -- used chiefly in measuring cables, cordage, and the depth of navigable water by soundings. 2. The measure or extant of one's capacity; depth, as of intellect; profundity; reach; penetration. [R.] Another of his fathom they have none To lead their business. Shak.\n\n1. To encompass with the arms extended or encircling; to measure by throwing the arms about; to span. [Obs.] Purchas. 2. The measure by a sounding line; especially, to sound the depth of; to penetrate, measure, and comprehend; to get to the bottom of. Dryden. The page of life that was spread out before me seemed dull and commonplace, only because I had not fathomed its deeper import. Hawthotne.
fathomable |Capable of being fathomed.
fathomer |One who fathoms.
fathomless |1. Incapable of being fathomed; immeasurable; that can not be sounded. And buckle in a waist most fathomless. Shak. 2. Incomprehensible. The fathomless absurdity. Milton.
fatidical |Having power to foretell future events; prophetic; fatiloquent; as, the fatidical oak. [R.] Howell. -- Fa*tid\"i*cal*ly, adv.
fatiferous |Fate-bringing; deadly; mortal; destructive. [R.] Johnson.
fatigable |Easily tired. [Obs.] Bailey.
fatigate |Wearied; tired; fatigued. [Obs.] Requickened what in flesh was fatigate. Shak.\n\nTo weary; to tire; to fatigue. [Obs.] Sir T. Elyot.
fatigation |Weariness. [Obs.] W. Montaqu.
fatigue |1. Weariness from bodily labor or mental exertion; lassitude or exhaustion of strength. 2. The cause of weariness; labor; toil; as, the fatigues of war. Dryden. 3. The weakening of a metal when subjected to repeated vibrations or strains. Fatigue call (Mil.), a summons, by bugle or drum, to perform fatigue duties. -- Fatigue dress, the working dress of soldiers. -- Fatigue duty (Mil.), labor exacted from soldiers aside from the use of arms. Farrow. -- Fatigue party, a party of soldiers on fatigue duty.\n\nTo weary with labor or any bodily or mental exertion; to harass with toil; to exhaust the strength or endurance of; to tire. Syn. -- To jade; tire; weary; bore. See Jade.
fatiloquent |Prophetic; fatidical. [Obs.] Blount.
fatiloquist |A fortune teller.
fatimide |Descended from Fatima, the daughter and only child of Mohammed. -- n.  A descendant of Fatima.
fatimite |Descended from Fatima, the daughter and only child of Mohammed. -- n.  A descendant of Fatima.
fatiscence |A gaping or opening; state of being chinky, or having apertures. Kirwan.
fatling |A calf, lamb, kid, or other young animal fattened for slaughter; a fat animal; -- said of such animals as are used for food. He sacrificed oxen and fatlings. 2 Sam. vi. 13.
fatly |Grossly; greasily.
fatner |One who fattens. [R.] See Fattener. Arbuthnit.
fatness |1. The quality or state of being fat, plump, or full-fed; corpulency; fullness of flesh. Their eyes stand out with fatness. Ps. lxxiii. 7. 2. Hence; Richness; fertility; fruitfulness. Rich in the fatness of her plenteous soil. Rowe. 3. That which makes fat or fertile. The clouds drop fatness. Philips.
fatten |1. To make fat; to feed for slaughter; to make fleshy or plump with fat; to fill full; to fat. 2. To make fertile and fruitful; to enrich; as, to fatten land; to fatten fields with blood. Dryden.\n\nTo grow fat or corpulent; to grow plump, thick, or fleshy; to be pampered. And villains fatten with the brave man's labor. Otway.
fattener |One who, or that which, fattens; that which gives fatness or fertility.
fattiness |State or quality of being fatty.
fattish |Somewhat fat; inclined to fatness. Coleridge, a puffy, anxious, obstructed-looking, fattish old man. Carlyle.
fatty |Containing fat, or having the qualities of fat; greasy; gross; as, a fatty substance. Fatty acid (Chem.), any one of the paraffin series of monocarbonic acids, as formic acid, acetic, etc.; -- so called because the higher members, as stearic and palmitic acids, occur in the natural fats, and are themselves fatlike substances. -- Fatty clays. See under Clay. -- Fatty degeneration (Med.), a diseased condition, in which the oil globules, naturally present in certain organs, are so multiplied as gradually to destroy and replace the efficient parts of these organs. -- Fatty heart, Fatty liver, etc. (Med.), a heart, liver, etc., which have been the subjects of fatty degeneration or infiltration. -- Fatty infiltration (Med.), a condition in which there is an excessive accumulation of fat in an organ, without destruction of any essential parts of the latter. -- Fatty tumor (Med.), a tumor consisting of fatty or adipose tissue; lipoma.
fatuitous |Stupid; fatuous.
fatuity |Weakness or imbecility of mind; stupidity. Those many forms of popular fatuity. I Taylor.
fatuous |1. Feeble in mind; weak; silly; stupid; foolish; fatuitous. Glanvill. 2. Without reality; illusory, like the ignis fatuus. Thence fatuous fires and meteors take their birth. Danham.
faubourg |A suburb of French city; also, a district now within a city, but formerly without its walls.
faucal |Pertaining to the fauces, or opening of the throat; faucial; esp., (Phon.) produced in the fauces, as certain deep guttural sounds found in the Semitic and some other languages. Ayin is the most difficult of the faucals. I. Taylor (The Alphabet).
fauces |1. (Anat.)  The narrow passage from the mouth to the pharynx, situated between the soft palate and the base of the tongue; -- called also the isthmus of the fauces. On either side of the passage two membranous folds, called the pillars of the fauces, inclose the tonsils. 2. (Bot.)  The throat of a calyx, corolla, etc. 3. (Zoöl.)  That portion of the interior of a spiral shell which can be seen by looking into the aperture.
faucet |1. A fixture for drawing a liquid, as water, molasses, oil, etc., from a pipe, cask, or other vessel, in such quantities as may be desired; -- called also tap, and cock. It consists of a tubular spout, stopped with a movable plug, spigot, valve, or slide. 2. The enlarged end of a section of pipe which receives the spigot end of the next section.
fauchion |See Falchion. [Obs.]
faucial |Pertaining to the fauces; pharyngeal.
faugh |An exclamation of contempt, disgust, or abhorrence.
faulchion |See Falchion.
faulcon |See Falcon.
fauld |The arch over the dam of a blast furnace; the tymp arch.
faule |A fall or falling band. [Obs.] These laces, ribbons, and these faules. Herrick.
fault |1. Defect; want; lack; default. One, it pleases me, for fault of a better, to call my friend. Shak. 2. Anything that fails, that is wanting, or that impairs excellence; a failing; a defect; a blemish. As patches set upon a little breach Discredit more in hiding of the fault. Shak. 3. A moral failing; a defect or dereliction from duty; a deviation from propriety; an offense less serious than a crime. 4. (Geol. & Mining) (a) A dislocation of the strata of the vein. (b) In coal seams, coal rendered worthless by impurities in the seam; as, slate fault, dirt fault, etc. Raymond. 5. (Hunting)  A lost scent; act of losing the scent. Ceasing their clamorous cry till they have singled, With much ado, the cold fault cleary out. Shak. 6. (Tennis)  Failure to serve the ball into the proper court. At fault, unable to find the scent and continue chase; hance, in trouble ot embarrassment, and unable to proceed; puzzled; thhrown off the track. -- To find fault, to find reason for blaming or complaining; to express dissatisfaction; to complain; -- followed by with before the thing complained of; but formerly by at. \"Matter to find fault at.\" Robynson (More's Utopia). Syn. -- -- Error; blemish; defect; imperfection; weakness; blunder; failing; vice. -- Fault, Failing, Defect, Foible. A fault is positive, something morally wrong; a failing is negative, some weakness or failling short in a man's character, disposition, or habits; a defect is also negative, and as applied to character is the absence of anyything which is necessary to its completeness or perfection; a foible is a less important weakness, which we overlook or smile at. A man may have many failings, and yet commit but few faults; or his faults and failings may be few, while his foibles are obvious to all. The faults of a friend are often palliated or explained away into mere defects, and the defects or foibles of an enemy exaggerated into faults. \"I have failings in common with every human being, besides my own peculiar faults; but of avarice I have generally held myself guiltless.\" Fox. \"Presumption and self-applause are the foibles of mankind.\" Waterland.\n\n1. To charge with a fault; to accuse; to find fault with; to blame. [Obs.] For that I will not fault thee. Old Song. 2. (Geol.)  To interrupt the continuity of (rock strata) by displacement along a plane of fracture; -- chiefly used in the p.p.; as, the coal beds are badly faulted.\n\nTo err; to blunder, to commit a fault; to do wrong. [Obs.] If after Samuel's death the people had asked of God a king, they had not faulted. Latimer.
fault-finder |One who makes a practice off discovering others' faults and censuring them; a scold.
fault-finding |The act of finding fault or blaming; -- used derogatively. Also Adj.
faulter |One who commits a fault. [Obs.] Behold the faulter here in sight. Fairfax.
faultful |Full of faults or sins. Shak.
faultily |In a faulty manner.
